date,prix_diesel_france_eur_L
2018-09-03,1.45841
2018-09-10,1.4768299999999999
2018-09-17,1.47853
2018-09-24,1.47638
2018-10-01,1.48348
2018-10-08,1.52172
2018-10-15,1.5330899999999998
2018-10-22,1.5225499999999998
2018-10-29,1.5108599999999999
2018-11-05,1.51497
2018-11-12,1.48396
2018-11-19,1.4655
2018-11-26,1.4553399999999999
2018-12-03,1.42867
2018-12-10,1.4311500000000001
2018-12-17,1.4247
2019-01-07,1.3760299999999999
2019-01-14,1.39171
2019-01-21,1.40798
2019-01-28,1.41815
2019-02-04,1.42133
2019-02-11,1.42113
2019-02-18,1.43143
2019-02-25,1.4503499999999998
2019-03-04,1.4596600000000002
2019-03-11,1.462
2019-03-18,1.46278
2019-03-25,1.4593399999999999
2019-04-01,1.4570999999999998
2019-04-08,1.4612
2019-04-15,1.4694800000000001
2019-04-29,1.4818399999999998
2019-05-06,1.4778099999999998
2019-05-13,1.4809100000000002
2019-05-20,1.48156
2019-05-27,1.4898
2019-06-03,1.47266
2019-06-10,1.4356300000000002
2019-06-17,1.4124700000000001
2019-06-24,1.40862
2019-07-01,1.41799
2019-07-08,1.40338
2019-07-15,1.42269
2019-07-22,1.43055
2019-07-29,1.4248399999999999
2019-08-05,1.42926
2019-08-12,1.41551
2019-08-19,1.40629
2019-08-26,1.41026
2019-09-02,1.41198
2019-09-09,1.41025
2019-09-16,1.42975
2019-09-23,1.45557
2019-09-30,1.45476
2019-10-07,1.44598
2019-10-14,1.4404000000000001
2019-10-21,1.44024
2019-10-28,1.43884
2019-11-04,1.4430999999999998
2019-11-11,1.44132
2019-11-18,1.4413099999999999
2019-11-25,1.4381
2019-12-02,1.4437200000000001
2019-12-09,1.45186
2019-12-16,1.45639
2020-01-06,1.4841199999999999
2020-01-13,1.49084
2020-01-20,1.47911
2020-01-27,1.4634800000000001
2020-02-03,1.43432
2020-02-10,1.40279
2020-02-17,1.3999000000000001
2020-02-24,1.39998
2020-03-02,1.39155
2020-03-09,1.3613199999999999
2020-03-16,1.30122
2020-03-23,1.25691
2020-03-30,1.239
2020-04-06,1.23104
2020-04-20,1.21325
2020-04-27,1.19408
2020-05-04,1.1663
2020-05-11,1.16078
2020-05-18,1.15781
2020-05-25,1.17685
2020-06-01,1.1853900000000002
2020-06-08,1.19102
2020-06-15,1.2091500000000002
2020-06-22,1.21614
2020-06-29,1.2303199999999999
2020-07-06,1.2278399999999998
2020-07-13,1.24202
2020-07-20,1.2446300000000001
2020-07-27,1.24742
2020-08-03,1.2353399999999999
2020-08-10,1.2363499999999998
2020-08-17,1.23671
2020-08-24,1.2361900000000001
2020-08-31,1.22788
2020-09-07,1.219
2020-09-14,1.20944
2020-09-21,1.19512
2020-09-28,1.19466
2020-10-05,1.19626
2020-10-12,1.19976
2020-10-19,1.20779
2020-10-26,1.19906
2020-11-02,1.20668
2020-11-09,1.19678
2020-11-16,1.21215
2020-11-23,1.2180199999999999
2020-11-30,1.2383199999999999
2020-12-07,1.24652
2020-12-14,1.2527300000000001
2020-12-21,1.26145
2021-01-11,1.28581
2021-01-18,1.3084200000000001
2021-01-25,1.31457
2021-02-01,1.3134700000000001
2021-02-08,1.3232300000000001
2021-02-15,1.3415899999999998
2021-02-22,1.36171
2021-03-01,1.37296
2021-03-08,1.3758
2021-03-15,1.39028
2021-03-22,1.39298
2021-03-29,1.3779400000000002
2021-04-12,1.36944
2021-04-19,1.37182
2021-04-26,1.37864
2021-05-03,1.3774600000000001
2021-05-10,1.39133
2021-05-17,1.38885
2021-05-24,1.39126
2021-05-31,1.39152
2021-06-07,1.4022000000000001
2021-06-14,1.40873
2021-06-21,1.41938
2021-06-28,1.4296300000000002
2021-07-05,1.43824
2021-07-12,1.4376600000000002
2021-07-19,1.4465599999999998
2021-07-26,1.44106
2021-08-02,1.43374
2021-08-09,1.4419300000000002
2021-08-16,1.43346
2021-08-23,1.42775
2021-08-30,1.42516
2021-09-06,1.42943
2021-09-13,1.4417200000000001
2021-09-20,1.45374
2021-09-27,1.4659
2021-10-04,1.49703
2021-10-11,1.5354
2021-10-18,1.55827
2021-10-25,1.5531300000000001
2021-11-01,1.55665
2021-11-08,1.54932
2021-11-15,1.55767
2021-11-22,1.55603
2021-11-29,1.5536500000000002
2021-12-06,1.5536500000000002
2021-12-13,1.52549
2021-12-20,1.53163
2022-01-03,1.5367
2022-01-10,1.58835
2022-01-17,1.6214000000000002
2022-01-24,1.65402
2022-01-31,1.67043
2022-02-07,1.68538
2022-02-14,1.69954
2022-02-21,1.70512
2022-02-28,1.7415399999999999
2022-03-07,1.88312
2022-03-14,2.14067
2022-03-21,1.97554
2022-03-28,2.1164899999999998
2022-04-04,1.89104
2022-04-11,1.82047
2022-04-25,1.8759000000000001
2022-05-02,1.8814600000000001
2022-05-09,1.94383
2022-05-16,1.8784
2022-05-23,1.85202
2022-05-30,1.82805
2022-06-06,1.96146
2022-06-13,2.06935
2022-06-20,2.13454
2022-06-27,2.1301900000000002
2022-07-04,2.0643200000000004
2022-07-11,1.99457
2022-07-18,1.96956
2022-07-25,1.93429
2022-08-01,1.87823
2022-08-08,1.83931
2022-08-15,1.7899100000000001
2022-08-22,1.84
2022-08-29,1.94881
2022-09-05,1.78007
2022-09-12,1.75474
2022-09-19,1.69648
2022-09-26,1.6593
2022-10-03,1.6956099999999998
2022-10-10,1.8034700000000001
2022-10-17,1.92108
2022-10-24,1.90526
2022-10-31,1.86776
2022-11-07,1.83193
2022-11-14,1.80203
2022-11-21,1.90588
2022-11-28,1.86114
2022-12-05,1.82022
2022-12-12,1.7320499999999999
2022-12-19,1.7427300000000001
2022-12-26,1.74939
2023-01-02,1.76653
2023-01-09,1.8993900000000001
2023-01-16,1.88456
2023-01-23,1.91618
2023-01-30,1.9431800000000001
2023-02-06,1.88727
2023-02-13,1.82785
2023-02-20,1.83819
2023-02-27,1.81014
2023-03-06,1.8120399999999999
2023-03-13,1.83832
2023-03-20,1.81828
2023-03-27,1.81623
2023-04-03,1.80926
2023-04-10,1.80143
2023-04-17,1.7998399999999999
2023-04-24,1.76214
2023-05-01,1.71998
2023-05-08,1.66551
2023-05-15,1.65553
2023-05-22,1.66011
2023-05-29,1.67224
2023-06-05,1.66584
2023-06-12,1.67967
2023-06-19,1.67599
2023-06-26,1.70347
2023-07-03,1.6751800000000001
2023-07-10,1.66581
2023-07-17,1.6948599999999998
2023-07-24,1.70023
2023-07-31,1.7398699999999998
2023-08-07,1.8064
2023-08-14,1.8346300000000002
2023-08-21,1.8336400000000002
2023-08-28,1.82399
2023-09-04,1.85869
2023-09-11,1.8816700000000002
2023-09-18,1.92938
2023-09-25,1.94097
2023-10-02,1.91211
2023-10-09,1.89211
2023-10-16,1.848
2023-10-23,1.88177
2023-10-30,1.85422
2023-11-06,1.8466300000000002
2023-11-13,1.80771
2023-11-20,1.8011
2023-11-27,1.78118
2023-12-04,1.78321
2023-12-11,1.74705
2023-12-18,1.73402
2023-12-25,1.74223
2024-01-01,1.74915
2024-01-08,1.7278
2024-01-15,1.72272
2024-01-22,1.7361300000000002
2024-01-29,1.75555
2024-02-05,1.7933800000000002
2024-02-12,1.79695
2024-02-19,1.8301500000000002
2024-02-26,1.8148900000000001
2024-03-04,1.79782
2024-03-11,1.78507
2024-03-18,1.77872
2024-03-25,1.78713
2024-04-01,1.76487
2024-04-08,1.78986
2024-04-15,1.79074
2024-04-22,1.7687
2024-04-29,1.75209
2024-05-06,1.7399
2024-05-13,1.7186199999999998
2024-05-20,1.70477
2024-05-27,1.69854
2024-06-03,1.69543
2024-06-10,1.67383
2024-06-17,1.68251
2024-06-24,1.71325
2024-07-01,1.7249400000000001
2024-07-08,1.72332
2024-07-15,1.72535
2024-07-22,1.697
2024-07-29,1.6824100000000002
2024-08-05,1.6648699999999999
2024-08-12,1.6605
2024-08-19,1.64478
2024-08-26,1.63452
2024-09-02,1.60931
2024-09-09,1.61174
2024-09-16,1.5887
2024-09-23,1.58193
2024-09-30,1.58551
2024-10-07,1.59053
2024-10-14,1.62314
2024-10-21,1.61864
2024-10-28,1.5977000000000001
2024-11-04,1.6008099999999998
2024-11-11,1.61929
2024-11-18,1.6250799999999999
2024-11-25,1.64173
2024-12-02,1.65425
2024-12-09,1.6455799999999998
2024-12-16,1.64157
2024-12-23,1.6396400000000002
2024-12-30,1.65538
2025-01-06,1.66974
2025-01-13,1.6808699999999999
2025-01-20,1.72329
2025-01-27,1.72598
2025-02-03,1.70084
2025-02-10,1.69475
2025-02-17,1.70205
2025-02-24,1.68567
2025-03-03,1.6872
2025-03-10,1.66046
2025-03-17,1.6317300000000001
2025-03-24,1.61958
2025-03-31,1.6276
2025-04-07,1.62969
2025-04-14,1.57492
2025-04-21,1.52809
2025-04-28,1.5531300000000001
2025-05-05,1.54954
2025-05-12,1.53256
2025-05-19,1.5505
2025-05-26,1.5507
2025-06-02,1.5463399999999998
2025-06-09,1.54558
2025-06-16,1.55718
2025-06-23,1.6402
2025-06-30,1.64293
2025-07-07,1.5891199999999999
2025-07-14,1.6400899999999998
2025-07-21,1.6413900000000001
2025-07-28,1.641
2025-08-04,1.61619
2025-08-11,1.61544
2025-08-18,1.5966500000000001
2025-08-25,1.58718
2025-09-01,1.5796
2025-09-08,1.57819
2025-09-15,1.61074
2025-09-22,1.6171300000000002
2025-09-29,1.6209
2025-10-06,1.6220999999999999
2025-10-13,1.60557585
2025-10-20,1.55444123
2025-10-27,1.5904433399999998
2025-11-03,1.63072221
2025-11-10,1.65802
2025-11-17,1.67791453
2025-11-24,1.6969246999999998
2025-12-01,1.66126
2025-12-08,1.63232
2025-12-15,1.6008099999999998
2025-12-22,1.5298699999999998
2025-12-29,1.5600699999999998
2026-01-05,1.58946
2026-01-12,1.62255
2026-01-19,1.6396099999999998
2026-01-26,1.6585
2026-02-02,1.6616600000000001
2026-02-09,1.6705699999999999
2026-02-16,1.66861
2026-02-23,1.64972
2026-03-02,1.7009400000000001
2026-03-09,1.95247
2026-03-16,2.01737
2026-03-23,2.10879
2026-03-30,2.1888
2026-04-06,2.2337
2026-04-13,2.3139000000000003
2026-04-20,2.24413
2026-04-27,2.16391
2026-05-04,2.16049
2026-05-11,2.15656
